Posicion,Empresa,Salario,Ubicacion,Fecha de publicacion,URL de la vacante,Descripción,Home URL,Nombre del Sitio
Senior API Engineer,Colabra,💰 $60k - $120k,🌏 Worldwide,2022-01-01T18:49:38+00:00,https://remoteok.com/remote-jobs/107927-remote-senior-api-engineer-colabra,"[""Colabra \n\n\n\ncolabra.app \n\n\nApply now\n\n\n🔎3,627 views\n\n\n✅ 704 applied\n(19%)\n\n\n\nColabra is hiring a Remote Senior API Engineer \n[Colabra](https://www.colabra.app/)'s mission is to increase the world's scientific output.\\n\\nWe're backed by top investors including Village Global, Builders, Inovia, Jude Gomila, the Technical Director of OpenAI, and founders of several biotech startups.\\n\\nWe're now hiring a senior engineer with experience working on B2B public-facing APIs and [integration](https://www.colabra.app/integrations/) platforms to help us make our product extensible, and ready for enterprise clients.\\n\\n### About us\\n* We’re a small team optimising for impact — not headcount.\\n* We’re using a single programming language — TypeScript (but can review for this project, based on your input).\\n\\n### Responsibilities\\n* Work closely with the founders to develop the platform product vision and strategy.\\n* Design and drive the development of Colabra's public API, related developer-facing products (e.g. CLI), and the broader platform surrounding it.\\n* Work with the engineering team to change application architecture and infrastructure to support this project.\\n\\n### Requirements\\n* 4+ years of API/platform architecture and engineering experience at high-growth B2B startups, and experience working in a remote-first team.\\n* Deep understanding of software design, product and business considerations that go into delivering great public APIs.\\n* Strong experience with modern technology stacks (learning on the job is perfectly fine).\\n* Relentless resourcefulness, ownership mindset, and a proven record of single-handedly taking ideas from conception to live.\\n* Passion for the promotion of science, and experience working on B2B SaaS a plus.\\n\\n### What’s in it for you?\\n* 🧪 Opportunity for outsized impact, working to accelerate world-changing scientific research.\\n* 🌏 Work in an async, remote-first startup where work-life balance is celebrated and promoted.\\n* 🌄 Unlimited PTO.\\n* 🏢 Co-working, ☕️ Coffee, 🧹 Cleaning, 📚 Books and 🏃\u200d♀️ Fitness allowance.\\n* 🏥 If you don't have public health insurance in your country of residence, SafetyWing Remote Health insurance with coverage across the world (stays of 30 days maximum in the US, Hong Kong and Singapore). \\n\\nBe sure to mention the word **ENVIOUSLY** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\n$60,000 — $120,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at Colabra\n\n\nVisit Colabra's website""]",https://remoteok.com,REMOTEOK
Frontend Engineer,Streamlabs,💰 $100k - $180k,🌏 Worldwide,2022-01-01T17:50:56+00:00,https://remoteok.com/remote-jobs/107908-remote-frontend-engineer-streamlabs,"[""Streamlabs \n\n\nApply now\n\n\n🔎3,057 views\n\n\n✅ 528 applied\n(17%)\n\n\n\nStreamlabs is hiring a Remote Frontend Engineer \nWe are Streamlabs, a technology company based in San Francisco and Vancouver. We build tools and software allowing nearly 40 million live streamers to engage with viewers, monetize their broadcasts, and grow their channels. Over $900 million in donations have been paid out to streamers through our platform since 2015. The top live creators on YouTube, Twitch and other platforms trust and use our tools to broadcast and monetize their streams. Our company is changing the live streaming and creator industry and you can be a big part of it.\\n\\nWe believe in meaningful work and meaningful relationships. Part of our culture is deep empathy for our teammates. We do team-wide hackathons twice a year and fly the entire team from across the globe to one location to build new ideas together. We strive for complete transparency within the company with weekly all-hands that cover everything (that is also the only standing meeting we have as a team). We do learning talks, game nights, product demos, AMAs, and much more.\\n\\nWe are a remote-first team, but provide offices in certain cities for those who prefer an office setting. You can go into the office as much or as little as you like. It’s all about doing whatever empowers you to do your best work.\\n\\nRead more about our empowering culture and the values we live by here.\\n\\n#### The Role: \\nWe’re looking for a talented, versatile Frontend Engineer to grow our team working across our web and desktop products. In this role, you will be working closely with designers and product managers to build intuitive, responsive web applications. You will participate in UX discussions, code reviews, roadmap planning, and work with a cross-functional team of talented people to build impactful products.\\n\\nWe work with a broad range of technologies to build beautiful and intuitive user interfaces. Frontend at Streamlabs involves more than just building web pages. We build complex, data-driven, reactive single-page applications for the web and Electron-based desktop apps. You will be given the opportunity to work on a wide range of projects both old and new, open and closed source, utilizing the latest technologies and frameworks.\\n\\nIf you are passionate about empowering creators, working with driven people, operating with a high amount of autonomy, and seeing the results of your work quickly go to production - this might be a good fit for you.\\n\\nYour contribution: Be Yourself. Be Open. Stay Hungry and Humble. Collaborate. Challenge. Decide and just Do. \\n\\n#### In this role you will:\\n\\n- Work with a team of highly talented individuals to build and release complex, data-driven frontend applications in a timely manner\\n- Own your code and the product from development to production\\n- Exemplify a strong eye for design, and obsess over the user experience\\n- Wear many different hats and contribute to your team with both technical and non-technical skills\\n- Treat the projects you work on as your own. Speak your mind, suggest ideas, take full ownership and deliver results\\n\\n#### What do you bring?\\n\\n- 3+ years of experience in JavaScript\\n- Professional experience working with product managers and designers to bring a product to market\\n- Experience building frontend applications using React, Angular, Vue, or similar\\n- Experience styling modern UIs with HTML/CSS\\n- Experience with automated testing of frontend applications\\n- Experience working alongside a team of engineers across one or multiple projects\\n- Demonstration of strong written and verbal communication skills, ability, and willingness to listen to teammates and collaborate with empathy\\n\\nIn addition, preferable skills and behaviors include:\\n\\n- Experience with TypeScript\\n- Experience building Electron apps or NodeJS apps\\n- Experience working across the tech stack, with a strong understanding of backend systems\\n- Experience demonstrating a basic understanding of design principles and best practices\\n- Experience working in a fast-paced, cross-functional team environment where you wore different hats\\n- Familiarity with content creation\\n- Education: A Bachelor’s degree in Computer Science, Computer Engineering, or equivalent professional experience\\n\\nImportant to our culture: 1. Speed 2. Humble 3. Empathy 4. Ownership We prefer to hire for attitude, train for skill.\\n\\nFor candidates outside of the US and Canada, employment will be offered on a remote contract basis. Relocation to the US or Canada is available after a trial period on a case-by-case basis.\\nAll qualified applicants will receive consideration for employment without regard to race, sex, age, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.\\n\\nReach out if you think you're a fit. We'd love to chat. \\n\\nBe sure to mention the word **DEXTEROUS** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\n$100,000 — $180,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at Streamlabs""]",https://remoteok.com,REMOTEOK
Devsecops Engineer,SureSwift Capital,💰 $70k - $150k,🌏 Worldwide,2022-01-01T17:45:26+00:00,https://remoteok.com/remote-jobs/107893-remote-devsecops-engineer-sureswift-capital,"[""SureSwift Capital \n\n\n\nsureswiftcapital.com \n\n\nApply now\n\n\n🔎1,927 views\n\n\n✅ 184 applied\n(10%)\n\n\n\nSureSwift Capital is hiring a Remote Devsecops Engineer \n**About SureSwift Capital**\\n\\nYou made it. You found the dream job you’re looking for where people and culture come first. If that’s as important to you as it is to us then please keep reading.\\nAt SureSwift, we’re building the company we want to work for, and we’d like to give you the opportunity to join our fully remote team of 130+ people in 15 time zones around the world.\\n\\nWhile we do work hard, we all work remote, and according to our own schedules that make the most sense for ourselves and our families. There are no cubicles, no offices, and there is zero commute time...unless you decide to work from the beach or a coffee shop, and that’s up to you.\\n\\nWe value creating a diverse and inclusive work environment and are committed to building a culture where everyone thrives! SureSwift Capital is proud to be an Equal Opportunity Employer. \\n\\n**Your Daily Challenges**\\n\\nWe’re looking for our very first DevSecOps Engineer to join our growing team. You’ll excel in this newly created position if you’re comfortable creating a roadmap, delivering it and are able to work independently and collaboratively. We’re looking for someone who is excited to build the foundation to help SureSwift Capital continue to grow!\\n\\nWhen we welcome you aboard we’ll introduce you to your team, which consists of the VP of Technology, and DevOps Engineering Manager. These are the people you’ll work closely with day-to-day. \\n\\nOnce you get settled in and learn more about the team, your day to day activities as a DevOpsSec Engineer will look something like this: \\n\\n- Analyze existing cloud structures and create new and enhanced security methods. \\n- Design, develop and implement new cloud security technologies.\\n- Coordinate with development teams to fix system or application vulnerabilities. \\n- Work directly with internal infrastructure teams to align and execute infrastructure changes to support the tools, apps, and processes.\\n- Create process documents for operations, maintenance and integrating output from these tools into daily security operations.\\n- Review issues logs and metrics to identify trends and solutions that should be implemented.\\n- Assist with IT functions such as design, analysis, evaluation, testing, debugging and implementation of applications programs in support of one or more functional areas.\\n\\n**Your Experience and Qualifications**\\n\\n- Bachelor’s degree in computer science, programming or information security. \\n- 3-5 years of previous experience in information security. \\n- Operational experience with Amazon Web Services: EC2, ECS, SQS, RDS\\n- Experience in software development, programming and knowledge of technology tools and platforms. \\n- Knowledge of cloud SDLC. \\n- Knowledge of operating systems such as Windows and Linux, as well as cloud architecture. \\n- Prior experience with ISO certification\\n- Extensive knowledge of at least one programming language such as Python or Ruby on Rails preferred.\\n- Excellent communication skills\\n- Initiative and experience in serving as a project leader.\\n- Experience working in an entrepreneurial/startup environment\\n- Experience working with remote teams\\n\\n**Your Compensation**\\n\\nCompensation varies with experience and qualifications. This job is a remote / work from home position.\\nBackground checks will be conducted on final candidates.\\nThanks for the time you took to read about this opportunity.\\n \\n\\nBe sure to mention the word **FAVORED** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\n$70,000 — $150,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at SureSwift Capital\n\n\nVisit SureSwift Capital's website""]",https://remoteok.com,REMOTEOK
Senior Full Stack Engineer,AngelList Talent,💰 $120k - $200k,🌏 Worldwide,2022-01-01T17:35:55+00:00,https://remoteok.com/remote-jobs/107906-remote-senior-full-stack-engineer-angellist-talent,"[""AngelList Talent \n\n\nApply now\n\n\n🔎1,598 views\n\n\n✅ 174 applied\n(11%)\n\n\n\nAngelList Talent is hiring a Remote Senior Full Stack Engineer \nAt AngelList Talent, we’re ensuring that every innovator finds their team. We’re building a better recruiting process — one that matches candidates with opportunities based on their abilities and preferences.\\n\\nWe do this at scale — AngelList Talent is the world’s foremost startup & remote hiring marketplace. Over 100,000 startups and millions of people have used our products. We’ve facilitated millions of connections and tens of thousands of hires around the world.\\n\\nWe make a global impact with a small, high-quality team. AngelList Talent is ~40 people and half are engineers. Our engineers work on everything from ideation to launch to growth, and we give a ton of responsibility to our team members.\\n\\nWe're looking for a Senior Full-stack Engineer to join our team. You should be someone that likes to ship, comfortable working across the entire stack (React, Typescript, GraphQL, Rails). You should be proud of your code but knowledgable enough to know how to manage implementation tradeoffs. You should have a product mindset — engineers on this team are product people, too.\\n\\nThis position will be a fully remote position. We are currently open to considering remote candidates based in North America, South America, and Europe.\\n\\nYou will:\\n\\n- Own the development of product features end-to-end including scoping, architecting, coding, testing, and rolling out features\\n- Work closely with PMs, designers, and other engineers to ideate solutions to user problems\\n- Become an expert in your product area and our tech stack\\n- Make improvements to developer productivity through process / code improvements and mentorship\\n- Work on a distributed team\\n\\nYou have:\\n\\n- Experience building complex web products end-to-end in at least one of the languages or frameworks we use: Ruby, Rails, Typescript, React.\\n- Expertise working on all parts of the stack (frontend, backend, anything in between). But, it’s fine to be stronger in one part.\\n- Strong verbal and written communication skills. We have a document-first culture.\\n- Desire to work autonomously / work like an owner\\n- High empathy. You care about your teammates and our users. You can put yourself in their shoes.\\n- If you're interested in joining us, but don't tick every box above, we'd still encourage you to apply. We're building a diverse team whose skills, experiences, and background complement one another. We're happy to consider where you might be able to make the biggest impact. \\n\\nBe sure to mention the word **PLAYFUL** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\n$120,000 — $200,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at AngelList Talent""]",https://remoteok.com,REMOTEOK
Senior Backend Engineer,MomentRanks,💰 $180k - $250k,🌏 Worldwide,2021-12-29T20:50:06+00:00,https://remoteok.com/remote-jobs/107912-remote-senior-backend-engineer-momentranks,"[""MomentRanks \n\n\n\nmomentranks.com \n\n\nApply now\n\n\n🔎3,045 views\n\n\n✅ 376 applied\n(12%)\n\n\n\nMomentRanks is also hiring a:\n\n\n\nSenior Frontend Engineer  \n\n\nMomentRanks is hiring a Remote Senior Backend Engineer \n**The Role**\\n\\nWe're looking for an experienced, fast-moving backend software engineer who loves building scalable architecture and solving complex data problems. This role will be focused on scaling our blockchain data ingestion, \\n\\nWe work with Node.js, Mongo, AWS, and some Go and Python. \\n\\n**Our company**\\n\\nMomentRanks makes collecting non-fungible tokens, or NFTs, incredibly easy, fun, and social. NFTs can be collectibles, gaming items, domain names, digital art, and many other items backed by a blockchain.\\n\\nWe want to be the entrypoint for tens of millions to discover, buy, and socialize around NFTs across blockchains and marketplaces. As you can imagine, the data problems around aggregation present a massive opportunity.\\n\\nWe launched in 2021 and already see over 150,000 monthly active users. We're backed by some of the best VCs in the crypto space, including Coinbase Ventures and Dapper Labs, and are growing incredibly fast. Check out our amazing community or our mentions in the New York Times, CNN, and Fortune.\\n\\n**Responsibilities**\\n\\n* Own the ingestion of blockchain data across the NFT ecosystem (with our help, of course)\\n* Ideate and deliver on second-level analytics, like NFT valuations and recommendations, to create value for users\\n* Build scalable architecture to increase data throughput \\n* Surface Node.js APIs around NFT data to help ship value to users \\n* Help architect our social layer from a database and API perspective \\n* Be excited to learn about the future of blockchain technology\\n* Add positive energy in every meeting, and make your coworkers feel included in every interaction.\\n\\n**Desired Experience**\\n* An ability to write high quality code quickly, with a bias towards shipping.\\n* 5+ years (or equivalent side projects) developing scalable backend and data architecutres \\n* Examples of 0-to-1 backend/systems problems you've solved \\n\\nBe sure to mention the word **NAVIGABLE** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n  \\n\\n#Salary and compensation\\n\n$180,000 — $250,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at MomentRanks\n\n\nVisit MomentRanks's website""]",https://remoteok.com,REMOTEOK
Sales Consultant,Sticker Mule,💰 $60k - $90k,Remote - United States,2021-12-17T15:06:37+00:00,https://remoteok.com/remote-jobs/107250-remote-sales-consultant-sticker-mule,"[""Sticker Mule \n\n\nApply now\n\n\n🔎16,105 views\n\n\n✅ 4,140 applied\n(26%)\n\n\n\nSticker Mule is also hiring a:\n\n\n\nAI engineer \nSoftware engineer  \n\n\nSticker Mule is hiring a Remote Sales Consultant \nSticker Mule is the internet's favorite printer. We're a remote team spread all over the world, including 8 countries. Our team from top to bottom makes growth a top priority and it's ingrained in our company culture. But most importantly, we just enjoy making customers happy and having fun while doing so.\\n\\nWhy you'll like working here\\n1. Customers love our service and tell us all the time!\\n2. We offer flexibility in your work day.\\n3. We work at a sustainable pace to foster a non-stressful work environment.\\n\\nJob description\\nThe Sales Consultant works to identify interesting prospects, convert them into customers, and increase the happiness of existing high-value customers. \\n\\nWork performed\\n1. Develops prospect lists and performs email outreach to prospective customers. \\n2. Follows up with prospects to foster positive relationships & convert them to customers. \\n3. Assists customer service with creating quotes & orders for significant leads. \\n4. Creates spec samples for high potential prospects & customers. \\n5. Tracks the progress of customers through our sales funnel & follows up appropriately. \\n6. Assists high-value customers via phone & email as needed. \\n7. Educates customers on our products and services using phone, webinars & screen sharing if necessary.\\n8. Identifies opportunities to improve our service based on customer interactions. \\n9. Helps convert orders through live chat.\\n10. Performs other tasks as assigned by management.\\n\\nRequirements\\n1. Outstanding interpersonal skills.\\n2. Willing to travel for meetings, shows and events.\\n3. Self motivated.\\n4. Must be located in the US.\\n\\nCompensation\\n1. $60 - $90k based on experience.\\n2. Signing bonus.\\n3. 4 weeks vacation. \\n\\nBe sure to mention the word **ENTHRALL** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\n$60,000 — $90,000/year\\n\n\\n\\n#Location\\nRemote - United States\n\n\n\n\nSee more jobs at Sticker Mule""]",https://remoteok.com,REMOTEOK
PMO Lead COO Office,Binance,💰 $61k - $95k*,Singapore,2021-12-25T07:16:35+00:00,https://remoteok.com/remote-jobs/107878-remote-pmo-lead-coo-office-binance,"['Binance is hiring a Remote PMO Lead COO Office \nBinance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.\\n\\nAre you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?\\nWorking at Binance\\n• Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry\\n• Fast moving, challenging and unique business problems\\n• International work environment and flat organisation\\n• Great career development opportunities in a growing company\\n• Possibility for relocation and international transfers mid-career\\n• Competitive salary\\n• Flexible working hours, Casual work attire \\n\\n#Salary and compensation\\n\nNo salary data published by company so we estimated salary based on previous jobs related to Ops, Executive and Product Manager, Operations jobs that are similar:\\n\\n\n$61,250 — $95,000/year\\n\n\\n\\n#Location\\nSingapore\n\n\n\n\nSee more jobs at Binance']",https://remoteok.com,REMOTEOK
Lead Backend Developer,OperateBeyond,💰 $70k - $150k,🌏 Worldwide,2021-12-11T19:00:06+00:00,https://remoteok.com/remote-jobs/107188-remote-lead-backend-developer-operatebeyond,"[""OperateBeyond \n\n\n🔎14,795 views\n\n\n✅ 3,330 applied\n(23%)\n\n\n\nThis job post is closed and the position is probably filled. Please do not apply.\n\n\nOperateBeyond is a fast growing technology company building web and mobile applications. We specialize in delivering top-notch user experiences paired with solid technology in non-auto vehicle software industry. Our successes come from our teamwork and mutual respect for each other’s talents and unique perspectives.\\n\\nSo when we say we are looking for a PHP Developer we do want want you to be an awesome back-end developer who’s dabbled with many different projects. We are looking for someone who can hold their own when when it comes to system integrations, databases, and even be interested in understanding more about user experience to help us shape amazing products.\\n\\n**What you might do on any given day:**\\n\\n* Participate in daily meetings with your team of developers\\n* Help developers with any roadblocks\\n* Participate in calls with the product department\\n* Coordinate and work with devops for version releases\\n* Work with a variety of technologies and platforms such as PHP, ZF2, ZF1, Laravel, ElasticSearch, MySQL, Vue.js, jQuery and many more technologies we may introduce\\n\\n* Collaborate with product managers and technical leads\\n\\n* Develop comprehensive use cases and test conditions\\n\\n* Take part in analysis efforts, identification, and recommendation of solutions, integration points and related implementation architecture for business usage improvements, scalability and performance.\\n\\n* Provide guidance in the form of code review, solution design, and recommended training and development plans.\\n\\n* Write unit tests, specs, integration tests, UI tests\\n\\n* Advocate for new or improved development practices that increase craftsmanship, availability, resilience, and scalability of our solutions\\n\\n**We think you’ll enjoy working with our team if you:**\\n\\n* Bring a passion to stay on top of tech trends, experiment with and learn new technologies, participate in technology communities.\\n\\n* Can be flexible, agile, dependable, and responsive even when there are a lot of moving parts and prefer that over following rigid processes and guidelines.\\n\\n* Believe that good application development includes good testing, good documentation, and good collaboration.\\n\\n* Have great communication and reasoning skills, including the ability to make a strong case for technology choices while understanding other viewpoints and the need to find the best possible solution for everyone.\\n\\n* Have a positive yet practical attitude; You are willing to take on any task that might help take one of our products, or our company, a little further. \\n\\nBe sure to mention the words **BASKET NAPKIN VETERAN** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\n$70,000 — $150,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at OperateBeyond""]",https://remoteok.com,REMOTEOK
Senior Regulatory Counsel,Blockchain.com,💰 $70k - $130k*,"Buenos Aires, Buenos Aires, Argentina",2021-12-07T18:01:30+00:00,https://remoteok.com/remote-jobs/107608-remote-senior-regulatory-counsel-blockchain-com,"[""Blockchain.com is hiring a Remote Senior Regulatory Counsel \n\\nBlockchain.com is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time. Having just acquired the SeSocio business, Blockchain.com has significantly increased its footprint in Latin America and signalled its commitment to the region.\\n\\n\\n\\nWe are looking for an exceptional lawyer to take on this exciting role and join our fast-growing team as Regulatory Counsel (Latin America). You will be working on ground-breaking, novel regulatory matters in the crypto space, including pioneering new crypto licensing regimes, working closely with Blockchain.com’s Policy Team on crypto policy development, and helping shape the regulatory environment in Latin America. You will contribute to the P-REAL team (Product, Regulatory, Employment and Litigation) within the broader Legal department and have responsibility for regulatory matters as they pertain to the Latin American business. You will work with that business to address challenging legal and regulatory matters along our continued journey of growth.\\n\\n\\n\\nPractically speaking, this includes the provision of legal and regulatory support on a variety of matters spanning entity licensing and registration, product distribution, service provider relationships, and more. If you have experience in a fast-paced environment and are looking for an opportunity to be a founding member of the Legal Team, this is the perfect opportunity for you!\\n\\n\\n\\n\\nWHAT YOU WILL DO\\n\\n\\nProvide legal and regulatory support to the Latin American business on matters that affect Blockchain.com with an eye towards how they impact the business globally.\\n\\nMonitor, assess and advise the business on legal and regulatory issues that impact entity licensing and registration, product development and distribution.\\n\\nSupport Blockchain.com in its various licensing and registration initiatives (Latin America).\\n\\nPartner with Compliance in respect of regulatory licensing matters and liaise with local regulators where necessary.\\n\\nEnsure that the Latin American business is aligned with applicable laws and regulations in Latin American (and coordinate with colleagues in the US, the UK and Europe).\\n\\nWork effectively across business units and product-related functions to resolve complex business and risk issues.\\n\\nEngage outside counsel relationships as necessary.\\n\\n\\n\\n\\n\\n\\nWHAT YOU WILL NEED\\n\\n\\nLLB/law degree and admission in a Latin American jurisdiction.\\n\\n5+ years relevant regulatory experience; in-house FinTech experience a bonus.\xa0\\n\\nProven high-performing legal experience in an in-house environment.\\n\\nAbility to work well under pressure with diligence, organisation, and minimal supervision, and provide practical, business-friendly advice to clients.\\n\\nStrong analytical and strategic skills; ability to drive issues to a quick resolution that factors in many non-legal variables, such as brand-risk, communications, government relations, tax, insurance, finance and other business units.\xa0\\n\\nHigh degree of professional ethics and integrity.\\n\\nAbility to anticipate legal issues or risks and to build the processes and systems to prevent them from occurring.\\n\\n\\n\\n\\n\\n\\n\\nCOMPENSATION & PERKS\\n\\n\\nCompetitive salary based on experience and meaningful equity in an industry-leading company.\\n\\nProvided the latest Apple equipment\\n\\nUnlimited vacation policy, work hard and take time when you need it.\\n\\n\\n \\n\\n#Salary and compensation\\n\nNo salary data published by company so we estimated salary based on previous jobs related to Senior, Non Tech and Crypto, Blockchain, Web3 jobs that are similar:\\n\\n\n$70,000 — $130,000/year\\n\n\\n\\n#Location\\nBuenos Aires, Buenos Aires, Argentina\n\n\n\n\nSee more jobs at Blockchain.com""]",https://remoteok.com,REMOTEOK
Engineering Manager,Nebulab,💰 $70k - $110k*,🌏 Worldwide,2021-12-05T00:00:22+00:00,https://remoteok.com/remote-jobs/106409-remote-engineering-manager-nebulab,"[""Nebulab \n\n\n\nnebulab.com \n\n\nApply now\n\n\n🔎11,063 views\n\n\n✅ 5,418 applied\n(49%)\n\n\n\nNebulab is also hiring a:\n\n\n\nRuby on Rails Engineer  \n\n\nNebulab is hiring a Remote Engineering Manager \nWe are [Nebulab](https://nebulab.com), the full-service eCommerce agency behind some of the world’s most disruptive digital brands.\\n\\nWe specialize in building bespoke eCommerce experiences for international clients across a wide array of verticals, and we lead the development of [Solidus](https://solidus.io), the open-source eCommerce platform for industry trailblazers.\\n\\nWe’re a growing team of strategists, designers and engineers with a remote-first culture based on continuous learning, transparency and collaboration. We are bold, detail-oriented and we pursue excellence in everything we do.\\n\\nThrough our work, we are raising the bar for what eCommerce looks like.\\n\\nWe are looking for Ruby on Rails developers to join our distributed team and work on challenging international projects, both open-source and proprietary.\\n\\n## What you'll do\\n\\nYou will manage small teams of skilled developers. Most of the projects you will work on are eCommerce applications built with Solidus.\\n\\nYou will be the main connection between clients and the Nebulab development team: from helping your team planning features and interacting with stakeholders to executing said plans and pushing code to production.\\n\\nWe love friendly, open-minded people that want to make a difference.\\n\\nWe value knowledge sharing and collaboration above everything else: we expect you to lead by example and delegate, no micro-management allowed. We're inspired by agile principles and most of your work will be helping your team win at delivering great software on time at a sustainable pace.\\n\\nWant to dig deeper? Read more about how we work in our [Playbook](https://playbook.nebulab.com) and its [section for engineering managers](https://playbook.nebulab.com/managing-teams/what-engineering-managers-do/).\\n\\n## Requirements\\n\\nQualified candidates are passionate about managing people and doing whatever it takes to turn business requirements into great code.\\n\\nTheir day-to-day activities range from grooming requirements to conducting code reviews; a part of the day will be spent doing Ruby on Rails development, if the project requires it.\\n\\nThey should be able to lead their team and communicate with clients in a clear, productive and friendly way. We value people that are inclusive, community-driven and want to learn new things and share knowledge.\\n\\nNice-to-haves include: past consulting experience, knowledge of the Solidus framework, knowledge of agile principles and processes.\\n\\n## Benefits\\n\\nHead over to our Playbook to learn what [benefits we offer](https://playbook.nebulab.com/people-ops/benefits/)! \\n\\nBe sure to mention the word **CAPABLE** when applying to show you read the job post completely. This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.\\n\\n \\n\\n#Salary and compensation\\n\nNo salary data published by company so we estimated salary based on previous jobs related to Management, Ecommerce and Ruby, Executive, Engineer, Ruby jobs that are similar:\\n\\n\n$70,000 — $110,000/year\\n\n\\n\\n#Location\\n🌏 Worldwide\n\n\n\n\nSee more jobs at Nebulab\n\n\nVisit Nebulab's website""]",https://remoteok.com,REMOTEOK
